code_mission,year,season,line_mission,numero_ligne,trap_nights,empty,Apodemus sylvaticus,Crocidura russula,Clethrionomys glareolus,Sorex coronatus,Mus musculus,Micromys minutus,sm_abund,sm_richness,category,type,treatment,hedgerow,broadleaved_class,length,bl_buff100,topo,pine_height_mean,open_width,T_moy,T_max,T_min,H_moy,H_max,H_min,herb_cover,shrub_cover,tree_cover,total_cover,tree_H,PCA_microclim_axis1,PCA_microclim_axis2,PCA_cover_axis1,PCA_cover_axis2,PCA_lidarsuperb_axis1,PCA_lidarsuperb_axis2,PCOA_bray_quadra_axis1,PCOA_bray_quadra_axis2,plant_richness,herbaceous,shrub,tree,longitude_lambert93,latitude_lambert93
Juin_2023,2023,Spring,1-Juin_2023,1,57,53,4,0,0,0,0,0,4,1,hedgerows,NC_LB,NC,Yes,LB,103,0,ditch,13.45,18,13.7311143246572,19.8429836065574,8.3459043715847,86.9977121906115,97.4574016393443,68.0129480874317,24,20.6666666666667,49,93.6666666666667,1.44917553573076,0.624378473733248,-0.820914568692619,-1.08936955387673,0.131052944307263,-0.497302835377249,-0.218276780954584,-0.153501918540095,-0.189141819187217,20,15,8,6,417743.866327624,6397147.60218634
Juin_2023,2023,Spring,2-Juin_2023,2,58,58,0,0,0,0,0,0,0,0,hedgerows,C_HB,C,Yes,HB,300,27.8,bank,8.63,13.23,13.9873769501051,19.9149535519126,8.90044262295082,81.8395775584156,91.191631147541,65.2715792349727,44.8333333333333,0.2,76.3333333333333,121.366666666667,0.431253644563013,-1.20270891093366,1.29656765894655,0.851897744435038,-0.63365065845017,2.20996082253901,0.379399331057165,-0.327099431431082,0.114777673977352,17,16,3,2,417037.097484878,6395962.71941854
Juin_2023,2023,Spring,3-Juin_2023,3,58,57,1,0,0,0,0,0,1,1,hedgerows,NC_HB,NC,Yes,HB,306,0,ditch,18,15.9,13.9692875244516,19.4146338797814,9.25659836065574,89.7709410659698,98.9119945355191,72.0592158469945,14.5,35.1666666666667,69.6666666666667,119.333333333333,0.801928637202918,2.51234197010695,0.994250466608816,-0.166007939246651,1.44806666878539,1.96653378768802,2.27799783138225,-0.438731168003695,0.198113092155206,15,14,6,3,415515.278079163,6392445.11591124
Juin_2023,2023,Spring,4-Juin_2023,4,57,57,0,0,0,0,0,0,0,0,hedgerows,NC_HB,NC,Yes,HB,187,0,bank,13.25,18.3,13.7286988601299,19.4968743169399,8.45569398907104,88.7669370914532,99.0730765027322,69.8306721311475,56,5,46.3333333333333,107.333333333333,1.13622718721045,1.67007208738428,-0.81354566706494,-0.114829341733511,-1.28561895852802,1.02289760609836,0.426542940798472,-0.162478022442739,-0.312586869122287,10,7,5,6,414141.585354436,6392835.59056719
Juin_2023,2023,Spring,5-Juin_2023,5,58,58,0,0,0,0,0,0,0,0,pine_edge,CT_LB,CT,No,LB,219,0,flat,9.26,16.53,14.1609321898841,21.4777158469945,8.18486612021858,85.1670961024986,97.5465846994535,62.0653852459016,9,41.8333333333333,63,113.833333333333,0,-2.03305294305426,0.388289571446768,-0.626227181189866,1.72107063977387,1.59919289289803,-2.21747179755659,0.399457587312114,0.0852129846468815,16,14,7,1,414457.804214236,6395036.70381286
Juin_2023,2023,Spring,7-Juin_2023,7,60,59,1,0,0,0,0,0,1,1,hedgerows,C_LB,C,Yes,LB,325,8.4,ditch,15.68,15.3,14.2547632766756,20.0581229508197,9.11122131147541,83.4561670487514,93.2458087431694,66.4578524590164,58.5,18.5,53,130,0.671451912009044,-0.659546542638994,2.31463735134369,0.594942448122499,-0.557083892702849,-4.61091245905028,-0.295582804106508,-0.231598556977043,-0.00717717637170445,14,12,5,2,412584.192427626,6396509.36067806
Juin_2023,2023,Spring,8-Juin_2023,8,57,56,1,0,0,0,0,0,1,1,pine_edge,CT_HB,CT,No,HB,178,0,flat,4.17,14.67,13.9699130296191,21.33893715847,7.26343169398907,71.9931218768314,80.8676366120219,57.7454972677596,22,51.8333333333333,30.3333333333333,104.166666666667,0,-6.96618309922931,0.0281642436888764,-1.55154750041845,1.21788498515945,0.0207249940488652,-0.253879534559419,0.417909098683097,0.195514581304761,9,8,5,1,412462.529342235,6394801.69231235
Juin_2023,2023,Spring,9-Juin_2023,9,59,58,1,0,0,0,0,0,1,1,hedgerows,NC_LB,NC,Yes,LB,150,0,ditch,7.11,14.67,13.8218162673378,19.8660054644809,8.53199453551913,89.2717597013045,99.5039699453552,69.1812021857924,37.8333333333333,6.7,83,127.533333333333,1.16819879288081,1.42633408227119,-0.478169323608224,1.01099740829478,-0.0466436972110773,-0.285749093065773,-1.71362782535174,-0.126057550089808,-0.0274489546173672,18,16,6,4,417393.838129839,6392582.21990387
Juin_2023,2023,Spring,10-Juin_2023,10,58,57,1,0,0,0,0,0,1,1,pine_edge,CT_LB,CT,No,LB,195,0,flat,14.28,48.67,14.2293393254624,20.7211530054645,8.92204918032787,85.6501833357992,96.6798196721312,66.1395218579235,56,22,56,134,0,-0.532111481031193,1.64787902850037,0.706032490441112,-0.278756375562962,0.582530358038116,-1.98877689360137,0.278609702208323,0.225793785550665,8,8,5,1,411011.447448815,6395394.14726257
Juin_2023,2023,Spring,11-Juin_2023,11,60,59,1,0,0,0,0,0,1,1,hedgerows,C_LB,C,Yes,LB,101,9.2,ditch,7.51,15.5,13.4314957801404,19.7433114754098,7.67453005464481,90.0052603755511,99.7165355191257,69.9676584699454,76.3333333333333,12.1666666666667,51.5,140,0,1.5076406270895,-2.93645674259559,1.18269817725495,-1.23479108151658,-0.934689266722456,-0.954876235218146,-0.131785851246256,-0.0278895786176042,12,9,5,1,408388.78092899,6391839.92854286
