pathogen,n_positive,n_total,prevalence
Bartonella_taylorii,83,312,26.6
Bartonella_grahamii,36,312,11.5
Bartonella_doshiae,22,312,7.1
Bartonella_birtlesii,62,312,19.9
Bartonella_elizabethae,5,312,1.6
Leptospira,7,312,2.2
