pathogen,n_positive
Borreliella,4
Neoehrlichia_mikurensis,36
Streptobacillus,5
Mycoplasma_haemomuris,55
Mycoplasma_coccoides,44
Mycoplasma_penetrans,3
Ehrlichia,2
Neisseria,1
Spiroplasma,8
Treponema,3
Bartonella_taylorii,68
Bartonella_grahamii,28
Bartonella_doshiae,19
Bartonella_birtlesii,51
Bartonella_elizabethae,5
Leptospira,5
